Game Number,Bot 1 Level,Bot 2 Level,Round,Diamond,Bot 1 Play,Bot 2 Play,Winner,Points Awarded
9,medium,expert,10,13 ♦,"['13 ♠', '13 ♣']",13 ♣,"['bot1', 'bot2']",13
9,medium,expert,11,12 ♦,"['12 ♠', '12 ♣']",12 ♣,"['bot1', 'bot2']",12
9,medium,expert,12,7 ♦,"['7 ♠', '8 ♣']",8 ♣,bot2,7
9,medium,expert,13,6 ♦,"['6 ♠', '9 ♣']",9 ♣,bot2,6

Game Number,9,Final Scores
bot1,50.0
bot2,41.0
Winner,bot1

10,medium,expert,1,6 ♦,"['6 ♠', '1 ♣']",1 ♣,bot1,6
10,medium,expert,2,8 ♦,"['8 ♠', '2 ♣']",2 ♣,bot1,8
10,medium,expert,3,13 ♦,"['13 ♠', '13 ♣']",13 ♣,"['bot1', 'bot2']",13
10,medium,expert,4,9 ♦,"['9 ♠', '3 ♣']",3 ♣,bot1,9
10,medium,expert,5,11 ♦,"['11 ♠', '11 ♣']",11 ♣,"['bot1', 'bot2']",11
10,medium,expert,6,7 ♦,"['7 ♠', '4 ♣']",4 ♣,bot1,7
10,medium,expert,7,4 ♦,"['4 ♠', '5 ♣']",5 ♣,bot2,4
10,medium,expert,8,2 ♦,"['2 ♠', '6 ♣']",6 ♣,bot2,2
10,medium,expert,9,10 ♦,"['10 ♠', '10 ♣']",10 ♣,"['bot1', 'bot2']",10
10,medium,expert,10,5 ♦,"['5 ♠', '7 ♣']",7 ♣,bot2,5
10,medium,expert,11,3 ♦,"['3 ♠', '8 ♣']",8 ♣,bot2,3
10,medium,expert,12,1 ♦,"['1 ♠', '9 ♣']",9 ♣,bot2,1
10,medium,expert,13,12 ♦,"['12 ♠', '12 ♣']",12 ♣,"['bot1', 'bot2']",12

Game Number,10,Final Scores
bot1,53.0
bot2,38.0
Winner,bot1

11,medium,expert,1,6 ♦,"['6 ♠', '1 ♣']",1 ♣,bot1,6
11,medium,expert,2,9 ♦,"['9 ♠', '2 ♣']",2 ♣,bot1,9
11,medium,expert,3,2 ♦,"['2 ♠', '3 ♣']",3 ♣,bot2,2
11,medium,expert,4,4 ♦,"['4 ♠', '4 ♣']",4 ♣,"['bot1', 'bot2']",4
11,medium,expert,5,7 ♦,"['7 ♠', '5 ♣']",5 ♣,bot1,7
11,medium,expert,6,1 ♦,"['1 ♠', '6 ♣']",6 ♣,bot2,1
11,medium,expert,7,12 ♦,"['12 ♠', '12 ♣']",12 ♣,"['bot1', 'bot2']",12
11,medium,expert,8,8 ♦,"['8 ♠', '7 ♣']",7 ♣,bot1,8
11,medium,expert,9,13 ♦,"['13 ♠', '13 ♣']",13 ♣,"['bot1', 'bot2']",13
11,medium,expert,10,10 ♦,"['10 ♠', '10 ♣']",10 ♣,"['bot1', 'bot2']",10
11,medium,expert,11,3 ♦,"['3 ♠', '8 ♣']",8 ♣,bot2,3
11,medium,expert,12,11 ♦,"['11 ♠', '11 ♣']",11 ♣,"['bot1', 'bot2']",11
11,medium,expert,13,5 ♦,"['5 ♠', '9 ♣']",9 ♣,bot2,5

Game Number,11,Final Scores
bot1,55.0
bot2,36.0
Winner,bot1

12,medium,expert,1,13 ♦,"['13 ♠', '13 ♣']",13 ♣,"['bot1', 'bot2']",13
12,medium,expert,2,9 ♦,"['9 ♠', '1 ♣']",1 ♣,bot1,9
12,medium,expert,3,8 ♦,"['8 ♠', '2 ♣']",2 ♣,bot1,8
12,medium,expert,4,6 ♦,"['6 ♠', '3 ♣']",3 ♣,bot1,6
12,medium,expert,5,12 ♦,"['12 ♠', '12 ♣']",12 ♣,"['bot1', 'bot2']",12
12,medium,expert,6,2 ♦,"['2 ♠', '4 ♣']",4 ♣,bot2,2
12,medium,expert,7,7 ♦,"['7 ♠', '5 ♣']",5 ♣,bot1,7
12,medium,expert,8,5 ♦,"['5 ♠', '6 ♣']",6 ♣,bot2,5
12,medium,expert,9,4 ♦,"['4 ♠', '7 ♣']",7 ♣,bot2,4
12,medium,expert,10,3 ♦,"['3 ♠', '8 ♣']",8 ♣,bot2,3
12,medium,expert,11,10 ♦,"['10 ♠', '10 ♣']",10 ♣,"['bot1', 'bot2']",10
12,medium,expert,12,1 ♦,"['1 ♠', '9 ♣']",9 ♣,bot2,1
12,medium,expert,13,11 ♦,"['11 ♠', '11 ♣']",11 ♣,"['bot1', 'bot2']",11

Game Number,12,Final Scores
bot1,53.0
bot2,38.0
Winner,bot1

13,medium,expert,1,7 ♦,"['7 ♠', '1 ♣']",1 ♣,bot1,7
13,medium,expert,2,11 ♦,"['11 ♠', '11 ♣']",11 ♣,"['bot1', 'bot2']",11
13,medium,expert,3,13 ♦,"['13 ♠', '13 ♣']",13 ♣,"['bot1', 'bot2']",13
13,medium,expert,4,10 ♦,"['10 ♠', '10 ♣']",10 ♣,"['bot1', 'bot2']",10
13,medium,expert,5,4 ♦,"['4 ♠', '2 ♣']",2 ♣,bot1,4
13,medium,expert,6,1 ♦,"['1 ♠', '3 ♣']",3 ♣,bot2,1
13,medium,expert,7,6 ♦,"['6 ♠', '4 ♣']",4 ♣,bot1,6
13,medium,expert,8,8 ♦,"['8 ♠', '5 ♣']",5 ♣,bot1,8
13,medium,expert,9,12 ♦,"['12 ♠', '12 ♣']",12 ♣,"['bot1', 'bot2']",12
13,medium,expert,10,9 ♦,"['9 ♠', '6 ♣']",6 ♣,bot1,9
13,medium,expert,11,5 ♦,"['5 ♠', '7 ♣']",7 ♣,bot2,5
13,medium,expert,12,3 ♦,"['3 ♠', '8 ♣']",8 ♣,bot2,3
13,medium,expert,13,2 ♦,"['2 ♠', '9 ♣']",9 ♣,bot2,2

Game Number,13,Final Scores
bot1,57.0
bot2,34.0
Winner,bot1

14,medium,expert,1,6 ♦,"['6 ♠', '1 ♣']",1 ♣,bot1,6
14,medium,expert,2,8 ♦,"['8 ♠', '2 ♣']",2 ♣,bot1,8
14,medium,expert,3,9 ♦,"['9 ♠', '3 ♣']",3 ♣,bot1,9
14,medium,expert,4,7 ♦,"['7 ♠', '4 ♣']",4 ♣,bot1,7
14,medium,expert,5,2 ♦,"['2 ♠', '5 ♣']",5 ♣,bot2,2
14,medium,expert,6,5 ♦,"['5 ♠', '6 ♣']",6 ♣,bot2,5
14,medium,expert,7,4 ♦,"['4 ♠', '7 ♣']",7 ♣,bot2,4
14,medium,expert,8,1 ♦,"['1 ♠', '8 ♣']",8 ♣,bot2,1
14,medium,expert,9,3 ♦,"['3 ♠', '9 ♣']",9 ♣,bot2,3
14,medium,expert,10,11 ♦,"['11 ♠', '11 ♣']",11 ♣,"['bot1', 'bot2']",11
14,medium,expert,11,12 ♦,"['12 ♠', '12 ♣']",12 ♣,"['bot1', 'bot2']",12
14,medium,expert,12,10 ♦,"['10 ♠', '10 ♣']",10 ♣,"['bot1', 'bot2']",10
14,medium,expert,13,13 ♦,"['13 ♠', '13 ♣']",13 ♣,"['bot1', 'bot2']",13

Game Number,14,Final Scores
bot1,53.0
bot2,38.0
Winner,bot1

15,medium,expert,1,13 ♦,"['13 ♠', '13 ♣']",13 ♣,"['bot1', 'bot2']",13
15,medium,expert,2,1 ♦,"['1 ♠', '1 ♣']",1 ♣,"['bot1', 'bot2']",1
15,medium,expert,3,12 ♦,"['12 ♠', '12 ♣']",12 ♣,"['bot1', 'bot2']",12
